iter	RMSE
0	2114.034921
1	1694.383799
2	1435.340883
3	1269.488638
4	1178.504806
5	1131.4452
6	1102.568457
7	1085.791697
8	1075.985473
9	1072.076448
10	1068.869722
11	1065.265168
12	1063.084072
13	1061.09045
14	1060.167352
15	1058.131576
16	1056.066456
17	1054.862658
18	1053.240814
19	1052.651746
20	1051.928908
21	1050.10235
22	1049.544256
23	1048.28938
24	1046.305301
25	1043.647612
26	1041.528664
27	1038.803505
28	1036.84835
29	1035.30384
30	1033.325384
31	1030.583125
32	1029.998444
33	1027.603204
34	1026.331201
35	1025.523923
36	1023.087264
37	1021.951766
38	1020.682467
39	1017.626371
40	1015.71998
41	1013.815825
42	1012.51913
43	1010.298774
44	1009.100194
45	1007.516033
46	1006.610038
47	1005.956741
48	1005.123581
49	1003.862345
50	1002.651562
51	1000.927355
52	998.3418375
53	996.7159429
54	994.6916999
55	993.3008626
56	992.8114985
57	989.8190383
58	988.033027
59	986.9258547
60	985.9642568
61	985.0746982
62	983.8907368
63	982.486216
64	981.087518
65	979.5138554
66	978.8100499
67	977.8432491
68	977.6334743
69	976.7741532
70	974.7419087
71	973.7607968
72	972.4461729
73	971.5986029
74	969.9228012
75	969.3077555
76	967.9038227
77	966.5226097
78	965.4995316
79	964.3766631
80	962.8567406
81	961.7080107
82	960.0210611
83	958.8605978
84	957.8285138
85	956.3987287
86	954.379897
87	953.3923877
88	952.5361329
89	951.1319268
90	950.16931
91	948.2546684
92	947.1674986
93	946.2786504
94	945.3341047
95	943.2324348
96	941.9194609
97	940.8572168
98	939.7888162
99	938.9765014
