time,price,quantity
2019-11-14 00:00:01+00:00,8758.34,0.00502
2019-11-14 00:00:02+00:00,8758.33,0.00507
2019-11-14 00:00:04+00:00,8758.34,0.03425306
2019-11-14 00:00:06+00:00,8758.34,0.0059088
2019-11-14 00:00:09+00:00,8758.34,0.00227217
2019-11-14 00:00:10+00:00,8758.34,0.00318218
2019-11-14 00:00:16+00:00,8758.34,2.838e-05
2019-11-14 00:00:16+00:00,8759.57,0.2
2019-11-14 00:00:16+00:00,8758.34,0.0144
2019-11-14 00:00:16+00:00,8759.169999999998,0.144
2019-11-14 00:00:16+00:00,8759.169999999998,8.817e-05
2019-11-14 00:00:16+00:00,8760.59,0.012
2019-11-14 00:00:19+00:00,8764.609999999999,0.0021029
2019-11-14 00:00:29+00:00,8764.609999999999,0.00499635
2019-11-14 00:00:36+00:00,8764.609999999999,0.00104033
2019-11-14 00:00:38+00:00,8764.609999999999,0.00703984
2019-11-14 00:00:39+00:00,8764.609999999999,0.02240226
2019-11-14 00:00:40+00:00,8764.609999999999,0.00906177
2019-11-14 00:00:41+00:00,8764.609999999999,0.00647389
2019-11-14 00:00:42+00:00,8764.609999999999,0.02462198
2019-11-14 00:00:43+00:00,8764.609999999999,6.068e-05
2019-11-14 00:00:43+00:00,8765.0,0.97963932
2019-11-14 00:00:43+00:00,8764.609999999999,0.1222
2019-11-14 00:00:44+00:00,8765.61,0.01661134
2019-11-14 00:00:44+00:00,8765.61,0.05840653
2019-11-14 00:00:44+00:00,8765.0,7.835e-05
2019-11-14 00:00:45+00:00,8765.61,0.01729621
2019-11-14 00:00:45+00:00,8765.61,0.0559305
2019-11-14 00:00:48+00:00,8765.61,0.00283869
2019-11-14 00:00:49+00:00,8765.61,0.0138515
2019-11-14 00:00:50+00:00,8765.61,0.00281063
2019-11-14 00:00:50+00:00,8765.61,0.005
2019-11-14 00:00:52+00:00,8765.6,0.01261212
2019-11-14 00:00:54+00:00,8765.61,0.00431518
2019-11-14 00:00:54+00:00,8765.61,0.00544984
2019-11-14 00:01:00+00:00,8765.61,0.00185176
2019-11-14 00:01:07+00:00,8765.6,0.0337
2019-11-14 00:01:08+00:00,8765.61,0.01563782
2019-11-14 00:01:08+00:00,8766.61,0.01328779
2019-11-14 00:01:10+00:00,8766.61,0.00136637
2019-11-14 00:01:15+00:00,8766.61,0.02796524
2019-11-14 00:01:18+00:00,8766.61,0.00210092
2019-11-14 00:01:20+00:00,8766.61,0.00590322
2019-11-14 00:01:22+00:00,8766.6,0.11444427
2019-11-14 00:01:23+00:00,8766.61,0.05675829
2019-11-14 00:01:24+00:00,8767.61,0.01222307
2019-11-14 00:01:24+00:00,8766.61,1.817e-05
2019-11-14 00:01:24+00:00,8766.61,0.0926
2019-11-14 00:01:25+00:00,8767.6,0.05675829
