timestamp,close,volume,total_ethbtc,notional_USD
2019-11-05 00:00:00,0.0198,102.8419,2.0363,19117.3544
2019-11-04 23:00:00,0.0198,610.0994,12.08,113703.0623
2019-11-04 22:00:00,0.0198,316.9315,6.2752,58856.8912
2019-11-04 21:00:00,0.0197,376.9392,7.4257,70120.832
2019-11-04 20:00:00,0.0198,2095.5895,41.4927,393167.5488
2019-11-04 19:00:00,0.0201,75.8984,1.5256,14149.5337
2019-11-04 18:00:00,0.0201,274.7449,5.5224,51201.7258
2019-11-04 17:00:00,0.0201,361.7254,7.2707,67785.5726
2019-11-04 16:00:00,0.0201,380.1149,7.6403,71097.2056
2019-11-04 15:00:00,0.0201,197.0154,3.96,36859.2144
2019-11-04 14:00:00,0.02,441.3347,8.8267,82291.2682
2019-11-04 13:00:00,0.02,2544.7104,50.8942,470959.2236
2019-11-04 12:00:00,0.02,146.927,2.9385,27175.5885
2019-11-04 11:00:00,0.0199,75.6734,1.5059,13963.6747
2019-11-04 10:00:00,0.0198,304.3119,6.0254,55496.7221
2019-11-04 09:00:00,0.0198,55.6889,1.1026,10116.724
2019-11-04 08:00:00,0.0198,51.6255,1.0222,9360.6889
2019-11-04 07:00:00,0.0198,82.4842,1.6332,15002.7186
2019-11-04 06:00:00,0.0198,147.5809,2.9221,26775.4527
2019-11-04 05:00:00,0.0197,66.5586,1.3112,11996.996
2019-11-04 04:00:00,0.0198,43.5773,0.8628,7885.0028
2019-11-04 03:00:00,0.0198,100.4099,1.9881,18205.3176
2019-11-04 02:00:00,0.0198,47.5302,0.9411,8630.9694
2019-11-04 01:00:00,0.0198,263.7155,5.2216,47851.0657
2019-11-04 00:00:00,0.0198,144.133,2.8538,26175.3314
