timestamp,low,high,open,close,volume,VWAP,Notional_Value_USD
2019-11-05 00:00:00,9370.01,9417.0,9412.63,9388.42,316.38,9393.51,2970.31
2019-11-04 23:00:00,9375.01,9436.01,9382.29,9412.53,249.74,9398.8,2350.69
2019-11-04 22:00:00,9355.01,9448.0,9442.98,9379.22,549.94,9400.13,5158.01
2019-11-04 21:00:00,9436.49,9489.97,9475.6,9442.99,549.04,9420.94,5184.58
2019-11-04 20:00:00,9275.0,9600.0,9275.0,9475.59,2823.33,9431.36,26752.72
2019-11-04 19:00:00,9261.01,9294.97,9271.68,9274.99,259.24,9422.98,2404.45
2019-11-04 18:00:00,9269.89,9325.0,9323.13,9271.69,243.35,9416.86,2256.27
2019-11-04 17:00:00,9305.54,9329.99,9306.57,9323.14,262.67,9411.91,2448.91
2019-11-04 16:00:00,9290.5,9340.56,9307.85,9305.54,288.03,9406.9,2680.27
2019-11-04 15:00:00,9281.0,9327.66,9323.0,9307.86,330.57,9401.12,3076.9
2019-11-04 14:00:00,9253.69,9347.46,9253.7,9323.0,644.86,9391.17,6012.03
2019-11-04 13:00:00,9246.01,9270.0,9247.28,9253.69,152.14,9388.14,1407.86
2019-11-04 12:00:00,9242.44,9301.34,9272.64,9247.99,347.87,9382.37,3217.1
2019-11-04 11:00:00,9210.49,9280.0,9210.49,9272.64,291.92,9376.9,2706.87
2019-11-04 10:00:00,9174.99,9223.99,9175.0,9210.5,120.42,9374.02,1109.13
2019-11-04 09:00:00,9157.53,9184.81,9157.53,9175.0,88.08,9371.64,808.13
2019-11-04 08:00:00,9154.07,9197.02,9186.15,9157.53,77.91,9369.63,713.46
2019-11-04 07:00:00,9162.88,9209.15,9162.89,9186.16,114.16,9366.91,1048.69
2019-11-04 06:00:00,9141.78,9183.41,9149.27,9163.08,129.9,9363.53,1190.28
2019-11-04 05:00:00,9132.34,9157.0,9138.53,9149.6,98.31,9360.82,899.5
2019-11-04 04:00:00,9127.0,9155.91,9155.91,9138.53,181.62,9355.91,1659.74
2019-11-04 03:00:00,9142.51,9180.0,9169.77,9157.07,99.89,9353.55,914.7
2019-11-04 02:00:00,9158.0,9189.93,9164.12,9171.17,126.31,9350.83,1158.41
2019-11-04 01:00:00,9142.47,9175.3,9171.99,9164.12,117.67,9348.16,1078.34
2019-11-04 00:00:00,9156.76,9219.89,9206.52,9171.99,215.01,9344.2,1972.07
